Geo Point,Geo Shape,gares_id,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,indice_lig,mode_,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y,picto ligne,nom_iv
"48.85162059003447, 2.361524965507838","{""coordinates"": [2.361524965507838, 48.85162059003447], ""type"": ""Point""}",842,Sully-Morland,,,71201,Sully Morland,44911,Sully Morland,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,653148.7307,6861476.0206,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Sully-Morland
"48.87547445574476, 2.3988675966256006","{""coordinates"": [2.398867596625601, 48.87547445574476], ""type"": ""Point""}",848,Télégraphe,,,71870,Télégraphe,44923,Télégraphe,A01544,C01381,METRO 11,11,METRO,0,0,0,0,0,RATP,1,0,655909.0693,6864106.8825,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94,Télégraphe
"48.86673355502223, 2.352829461254394","{""coordinates"": [2.352829461254394, 48.86673355502223], ""type"": ""Point""}",726,Réaumur Sébastopol,,,73636,Réaumur Sébastopol,44600,Réaumur Sébastopol,A01537,C01374,METRO 4,4,METRO,0,0,0,0,0,RATP,1,0,652524.4422,6863161.6489,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb,Réaumur Sébastopol
"48.84845784851418, 2.3277821284985802","{""coordinates"": [2.32778212849858, 48.84845784851418], ""type"": ""Point""}",728,Rennes,,,73640,Rennes,44609,Rennes,A01545,C01382,METRO 12,12,METRO,0,0,0,0,0,RATP,1,0,650669.7473,6861144.9042,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49,Rennes
"48.87817339012215, 2.337857510381017","{""coordinates"": [2.337857510381017, 48.87817339012215], ""type"": ""Point""}",766,Saint-Georges,,,71366,Saint-Georges,44867,Saint-Georges,A01545,C01382,METRO 12,12,METRO,0,0,0,0,0,RATP,1,0,651436.8124,6864442.7809,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49,Saint-Georges
"48.79648308361576, 2.368269540049694","{""coordinates"": [2.368269540049694, 48.79648308361576], ""type"": ""Point""}",898,Villejuif Paul Vaillant-Couturier,Hôpital Paul Brousse,,70248,Paul Vaillant Couturier,58471,Paul Vaillant Couturier,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,653594.5881,6855341.3988,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Villejuif Paul Vaillant-Couturier
"48.87627270166968, 2.3580579070747376","{""coordinates"": [2.358057907074738, 48.87627270166968], ""type"": ""Point""}",315,Gare de l'Est,,,71359,Gare de l'Est,43138,Gare de l'Est,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,1,652916.6087,6864219.2028,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Gare de l'Est
"48.867905343962654, 2.313545549946741","{""coordinates"": [2.313545549946741, 48.867905343962654], ""type"": ""Point""}",144,Champs-Élysées – Clemenceau,Grand Palais,,71305,Champs-Élysées Clemenceau,42531,Champs-Élysées Clemenceau,A01534,C01371,METRO 1,1,METRO,0,0,0,0,0,RATP,1,0,649643.8307,6863316.2783,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4,Champs-Élysées – Clemenceau
"48.86533531722583, 2.41669727284764","{""coordinates"": [2.41669727284764, 48.86533531722583], ""type"": ""Point""}",300,Gallieni,Parc de Bagnolet,,71817,Gallieni,47890,Gallieni,A01536,C01373,METRO 3,3,METRO,0,0,METRO 3,0,0,RATP,1,0,657208.4603,6862969.6695,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a,Gallieni
"48.920785968128676, 2.410598616469425","{""coordinates"": [2.410598616469425, 48.920785968128676], ""type"": ""Point""}",412,La Courneuve 8 Mai 1945,,,73696,La Courneuve - 8 Mai 1945,470546,La Courneuve - 8 Mai 1945,A01540,C01377,METRO 7,7,METRO,0,0,METRO 7,0,0,RATP,1,0,656807.0913,6869138.8599,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,La Courneuve 8 Mai 1945
"48.86644680513255, 2.3835991095736566","{""coordinates"": [2.383599109573657, 48.86644680513255], ""type"": ""Point""}",533,Ménilmontant,,,71815,Ménilmontant,44133,Ménilmontant,A01535,C01372,METRO 2,2,METRO,0,0,0,0,0,RATP,1,0,654781.3662,6863111.7042,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1,Ménilmontant
"48.88094656262635, 2.364993472400181","{""coordinates"": [2.364993472400181, 48.88094656262635], ""type"": ""Point""}",476,Louis Blanc,,,71407,Louis Blanc,43823,Louis Blanc,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,653429.4678,6864734.7932,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Louis Blanc
"48.86229941188523, 2.441521809411031","{""coordinates"": [2.441521809411031, 48.86229941188523], ""type"": ""Point""}",492,Mairie de Montreuil,,,71785,Mairie de Montreuil,44052,Mairie de Montreuil,A01542,C01379,METRO 9,9,METRO,0,0,METRO 9,0,0,RATP,1,0,659027.1889,6862618.9315,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a,Mairie de Montreuil
"48.88470820039658, 2.2605150792517","{""coordinates"": [2.2605150792517, 48.88470820039658], ""type"": ""Point""}",669,Pont de Neuilly,,,71442,Pont de Neuilly,44479,Pont de Neuilly,A01534,C01371,METRO 1,1,METRO,0,0,0,0,0,RATP,1,0,645771.2871,6865219.7485,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4,Pont de Neuilly
"48.8585538254322, 2.342232759368107","{""coordinates"": [2.342232759368107, 48.8585538254322], ""type"": ""Point""}",674,Pont Neuf,La Monnaie,,71253,Pont Neuf,44491,Pont Neuf,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,651739.5237,6862258.5537,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Pont Neuf
"48.86147646279582, 2.3739435082451816","{""coordinates"": [2.373943508245182, 48.86147646279582], ""type"": ""Point""}",758,Saint-Ambroise,,,71781,Saint-Ambroise,45205,Saint-Ambroise,A01542,C01379,METRO 9,9,METRO,0,0,0,0,0,RATP,1,0,654068.6725,6862564.6133,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a,Saint-Ambroise
"48.8464230763525, 2.418759786698671","{""coordinates"": [2.418759786698671, 48.8464230763525], ""type"": ""Point""}",772,Saint-Mandé,,,71647,Saint-Mandé,47247,Saint-Mandé,A01534,C01371,METRO 1,1,METRO,0,0,0,0,0,RATP,1,0,657344.2856,6860865.6652,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4,Saint-Mandé
"48.82642600994104, 2.3572456507586854","{""coordinates"": [2.357245650758685, 48.82642600994104], ""type"": ""Point""}",855,Tolbiac,,,71001,Tolbiac,43411,Tolbiac,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,652811.918,6858677.1935,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Tolbiac
"48.84698910520499, 2.317005235737245","{""coordinates"": [2.317005235737245, 48.84698910520499], ""type"": ""Point""}",246,Duroc,,,71159,Duroc,42874,Duroc,A01543,C01380,METRO 10,10,METRO,0,0,0,0,0,RATP,1,0,649877.4993,6860988.3813,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049,Duroc
"48.82708544796182, 2.27941168205042","{""coordinates"": [2.27941168205042, 48.82708544796182], ""type"": ""Point""}",210,Corentin Celton,,,70990,Corentin Celton,42759,Corentin Celton,A01545,C01382,METRO 12,12,METRO,0,0,0,0,0,RATP,1,0,647098.5235,6858799.8446,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49,Corentin Celton
"48.82430937015939, 2.273665557499754","{""coordinates"": [2.273665557499754, 48.82430937015939], ""type"": ""Point""}",495,Mairie d'Issy,,,70671,Mairie d'Issy,44050,Mairie d'Issy,A01545,C01382,METRO 12,12,METRO,0,0,METRO 12,0,0,RATP,1,0,646673.8484,6858495.0452,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49,Mairie d'Issy
"48.877100184864226, 2.3487755574768463","{""coordinates"": [2.348775557476846, 48.877100184864226], ""type"": ""Point""}",659,Poissonnière,,,71363,Poissonnière,45165,Poissonnière,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,652236.5668,6864316.7882,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Poissonnière
"48.89738989064754, 2.385508387668672","{""coordinates"": [2.385508387668672, 48.89738989064754], ""type"": ""Point""}",692,Porte de la Villette,Cité des Sciences et de l’Industrie,,72430,Porte de La Villette,473461,Porte de La Villette,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,654948.2026,6866551.304,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Porte de la Villette
"48.834785157146825, 2.4053832106267707","{""coordinates"": [2.405383210626771, 48.834785157146825], ""type"": ""Point""}",705,Porte Dorée,,,71591,Porte Dorée,44532,Porte Dorée,A01541,C01378,METRO 8,8,METRO,0,0,0,0,0,RATP,1,0,656352.887,6859578.9511,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51,Porte Dorée
