date,NO,NO2,CO2,PM10,TEMP,HUMI,Month,Date,Saison
2018-05-17T23:00:00+02:00,7.25,34.708333333333336,465.2083333333333,61.791666666666664,20.641666666666666,41.141666666666666,May,2018-05-17,Spring
2018-05-18T23:00:00+02:00,9.666666666666666,37.375,476.4166666666667,50.041666666666664,19.958333333333332,36.237500000000004,May,2018-05-18,Spring
2018-05-19T23:00:00+02:00,4.125,33.25,468.0,33.291666666666664,20.045833333333334,38.68333333333333,May,2018-05-19,Spring
2018-05-20T23:00:00+02:00,4.125,32.541666666666664,464.5833333333333,28.833333333333332,20.412499999999998,43.225,May,2018-05-20,Spring
2018-05-21T23:00:00+02:00,4.75,38.791666666666664,464.6666666666667,27.041666666666668,21.958333333333332,47.637499999999996,May,2018-05-21,Spring
2018-05-22T23:00:00+02:00,21.75,60.708333333333336,510.6666666666667,70.04166666666667,22.495833333333334,53.73333333333333,May,2018-05-22,Spring
2018-05-23T23:00:00+02:00,20.791666666666668,46.541666666666664,492.4166666666667,66.625,22.058333333333334,57.44583333333333,May,2018-05-23,Spring
2018-05-24T23:00:00+02:00,23.708333333333332,47.25,495.5833333333333,71.95833333333333,23.075,55.020833333333336,May,2018-05-24,Spring
2018-05-25T23:00:00+02:00,18.291666666666668,58.0,497.9583333333333,31.708333333333332,23.825,53.40833333333333,May,2018-05-25,Spring
2018-05-26T23:00:00+02:00,4.666666666666667,26.791666666666668,458.5416666666667,0.0,24.358333333333334,57.75833333333333,May,2018-05-26,Spring
2018-05-27T23:00:00+02:00,0.0,0.0,472.1666666666667,0.0,25.599999999999998,50.68333333333334,May,2018-05-27,Spring
2018-05-28T23:00:00+02:00,3.9583333333333335,13.125,487.0833333333333,14.5,25.833333333333332,51.37916666666666,May,2018-05-28,Spring
2018-05-29T23:00:00+02:00,29.458333333333332,52.166666666666664,481.75,40.958333333333336,23.316666666666666,64.95416666666667,May,2018-05-29,Spring
2018-05-30T23:00:00+02:00,20.5,53.875,497.0,39.875,23.766666666666666,59.37083333333334,May,2018-05-30,Spring
2018-05-31T23:00:00+02:00,22.041666666666668,56.041666666666664,490.4166666666667,49.041666666666664,24.458333333333332,57.17083333333333,May,2018-05-31,Spring
2018-06-01T23:00:00+02:00,18.666666666666668,44.5,494.25,54.458333333333336,23.59583333333333,59.15416666666667,June,2018-06-01,Spring
2018-06-02T23:00:00+02:00,15.666666666666666,44.583333333333336,468.6666666666667,38.375,23.224999999999998,54.82916666666667,June,2018-06-02,Spring
2018-06-03T23:00:00+02:00,6.0,28.916666666666668,448.7083333333333,43.708333333333336,24.03333333333333,52.395833333333336,June,2018-06-03,Spring
2018-06-04T23:00:00+02:00,15.875,45.083333333333336,481.5833333333333,64.75,24.712500000000002,54.475,June,2018-06-04,Spring
2018-06-05T23:00:00+02:00,16.0,38.208333333333336,473.3333333333333,83.08333333333333,23.795833333333334,63.82083333333333,June,2018-06-05,Spring
2018-06-06T23:00:00+02:00,25.5,42.208333333333336,484.1666666666667,70.625,22.97083333333333,63.65416666666667,June,2018-06-06,Spring
2018-06-07T23:00:00+02:00,22.625,50.958333333333336,478.75,44.916666666666664,23.849999999999998,61.67083333333333,June,2018-06-07,Spring
2018-06-08T23:00:00+02:00,24.166666666666668,47.458333333333336,466.875,54.25,24.820833333333336,56.583333333333336,June,2018-06-08,Spring
2018-06-09T23:00:00+02:00,9.833333333333334,33.791666666666664,468.4166666666667,50.5,23.724999999999998,63.550000000000004,June,2018-06-09,Spring
2018-06-10T23:00:00+02:00,6.75,32.208333333333336,462.7916666666667,47.0,23.704166666666666,65.78333333333333,June,2018-06-10,Spring
2018-06-11T23:00:00+02:00,22.666666666666668,39.958333333333336,493.0833333333333,56.666666666666664,23.724999999999998,69.54166666666667,June,2018-06-11,Spring
2018-06-12T23:00:00+02:00,12.916666666666666,32.625,483.7083333333333,43.0,22.78333333333333,64.12083333333334,June,2018-06-12,Spring
2018-06-13T23:00:00+02:00,15.875,28.833333333333332,491.5416666666667,102.08333333333333,22.683333333333334,46.43333333333334,June,2018-06-13,Spring
2018-06-14T23:00:00+02:00,28.208333333333332,48.0,495.3333333333333,77.91666666666667,22.979166666666668,47.53333333333333,June,2018-06-14,Spring
2018-06-15T23:00:00+02:00,19.208333333333332,44.166666666666664,492.1666666666667,48.666666666666664,23.133333333333336,51.87083333333334,June,2018-06-15,Spring
2018-06-16T23:00:00+02:00,9.791666666666666,37.0,475.25,38.041666666666664,23.2,42.56666666666667,June,2018-06-16,Spring
2018-06-17T23:00:00+02:00,10.833333333333334,35.583333333333336,466.5416666666667,27.916666666666668,23.025000000000002,42.80833333333334,June,2018-06-17,Spring
2018-06-18T23:00:00+02:00,22.291666666666668,36.666666666666664,490.4583333333333,48.666666666666664,23.370833333333334,54.1625,June,2018-06-18,Spring
2018-06-19T23:00:00+02:00,28.333333333333332,35.125,492.625,53.25,23.866666666666664,57.06666666666666,June,2018-06-19,Spring
